PHÂN TÍCH DATABASE,Category,Subcategory,Address,State,Zip,Phone,Hours_Mon,Hours_Tue,Hours_Wed,Hours_Thu,Hours_Fri,Hours_Sat,Hours_Sun,Email,Website,Languages,Services,Vietnamese_Speaking,Years_Experience,Notes,Google_Maps_Search,"Has_Number=IF(REGEXMATCH(D2,""[0-9]""),""YES"",""NO"")",Google_Maps_Link,Link_Type
JnD Auto Repair,Automotive,Auto Repair,3030 Naaman School Rd,TX,75040,(972) 495-8080,,,,,,,,,jndautorepair.com,Vietnamese/English,"Auto repair, master mechanic",Yes,28+ years,Don Tran - owner,JnD Auto Repair Garland,"Has_Number=IF(REGEXMATCH(D2,""[0-9]""),""YES"",""NO"")",https://www.google.com/maps/place/?q=place_id:ChIJz9g-DgEdTIYRauYwxqLST5s,PLACE_ID
Toyota of Dallas - Vietnamese Sales Team,Automotive,Car Dealership,2610 Forest Ln,TX,75234,(844) 866-5826,,toyotaofdallas.com,,,,,,,toyotaofdallas.com,Vietnamese/English,Vietnamese sales team,Yes,,Sam Mau - Vietnamese Sales Manager,Toyota of Dallas,,https://www.google.com/maps/place/?q=place_id:ChIJKWidE5cnTIYRSpDjTlPeJUk,PLACE_ID
North Dallas Imports,Automotive,Auto Repair,4250 Forest Ln Ste B,TX,75042,(214) 501-2960,andy@northdallasimports.com,northdallasimports.com,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,CLOSED,CLOSED,andy@northdallasimports.com,northdallasimports.com,Vietnamese/English,"Asian Import Specialist, Honda/Toyota",Yes,,,North Dallas Imports Garland,,https://www.google.com/maps/place/?q=place_id:ChIJ2eOniC8eTIYRLs51eTyYanI,PLACE_ID
JP Euro,Automotive,Auto Repair,3517 Security St,TX,75042,(214) 221-3135,Service@jpeuro.com,jpeuro.com,,,,,,Service@jpeuro.com,jpeuro.com,Vietnamese/English,European & Asian auto repair,Yes,,,JP Euro Garland,,https://www.google.com/maps/place/?q=place_id:ChIJqwYgzKGgToYRDiUUo2PFWlQ,PLACE_ID
Lobo Automotive,Automotive,Auto Repair,1818 Storey Ln #100,TX,75220,(214) 353-9605,,loboautomotive.com,,,,,,,loboautomotive.com,Vietnamese/English,Asian vehicle specialist,Yes,,,Lobo Automotive Dallas,,https://www.google.com/maps/place/?q=place_id:ChIJpfK4rgWdToYRjWajhXdeMyg,PLACE_ID
Tokyo Town - Swedish Auto,Automotive,Auto Repair,14820 Webb Chapel Rd,TX,75234,(972) 241-1911,info@importautofix.com,importautofix.com,,,,,,info@importautofix.com,importautofix.com,Vietnamese/English,Import Auto Repair,Yes,,,Tokyo Town Auto Farmers Branch,,https://www.google.com/maps/place/?q=place_id:ChIJEzfTVOgmTIYREiRU_435IrY,PLACE_ID
Northrich Automotive,Automotive,Auto Repair,1315 Executive Dr W,TX,75081,(972) 669-9990,,northrichauto.com,,,,,,,northrichauto.com,Vietnamese/English,Auto Repair,Yes,,,Northrich Automotive Richardson,,https://www.google.com/maps/place/?q=place_id:ChIJC5MiKhkfTIYRrSFlAACoDao,PLACE_ID
Road Masters Auto Service,Automotive,Auto Repair,405 S Central Expy Ste 118,TX,75080,(972) 231-4244,,roadmastersautoservice.com,,,,,,,roadmastersautoservice.com,Vietnamese/English,Auto Service,Yes,,,Road Masters Richardson,,https://www.google.com/maps/place/?q=place_id:ChIJ36zHHncfTIYRVY8A4_H7qfE,PLACE_ID
FC Automotive,Automotive,Auto Repair,2150 E Belt Line Rd,TX,75081,(972) 234-2031,info@fcautomotivetx.com,fcautomotivetx.com,,,,,,info@fcautomotivetx.com,fcautomotivetx.com,Vietnamese/English,Auto Repair,Yes,,,FC Automotive Richardson,,https://www.google.com/maps/place/?q=place_id:ChIJwwWmJWAeTIYRFedfKynZmOg,PLACE_ID
K3S Auto Repair,Automotive,Auto Repair,307 N Rogers Rd Ste 100,TX,75061,(866) 537-9110,,k3sautorepair.com,,,,,,,k3sautorepair.com,Vietnamese/English,Asian Import Specialist,Yes,,,K3S Auto Repair Irving,,https://www.google.com/maps/place/?q=place_id:ChIJQR6mPYUnTIYRBzRcwF3i5jY,PLACE_ID
Acute Auto Care,Automotive,Auto Repair,890 N Mill St Suite 110,TX,75057,(972) 420-8450,,acuteautocare.com,,,,,,,acuteautocare.com,Vietnamese/English,Asian Auto Repair,Yes,,,Acute Auto Care Lewisville,,https://www.google.com/maps/place/?q=place_id:ChIJIdch2QQuTIYRy7y4F6IXMeI,PLACE_ID
